Ingredient ID,Ingredient,Usage,No.of products contained in
19424,Arctium Majus Root Water,Skin Conditioning,0
19425,Ardisia Crenata Leaf Extract,Skin Conditioning,0
19426,Areca Catechu Seed/Eugenia Caryo...,Skin Conditioning,0
19427,Dimethylbutanone Retinoate,Skin Conditioning,0
19428,Dimethylcyclohexenyl Tert-Butyl ...,Perfuming,0
19429,Dipropylene Glycol Diacrylate,Skin Conditioning,0
19430,Disodium 2-Sulfopalmitate,Cleansing,0
19431,Disodium C12-14 Sec-Pareth-12 Su...,"Cleansing, Skin Conditioning",0
19432,Disodium Coceth-3 Sulfosuccinate,"Cleansing, Emulsifying",0
19433,Troloxoyl Nonapeptide-38,Skin Conditioning,0
19434,Calcium Glucoheptonate,Skin Conditioning,0
19435,Dimethylbicyclohept-2-Ylethanone,Perfuming,0
19436,Spondias Mombin Pulp Extract,Skin Conditioning,14
19437,Dimethylcyclohexyl Methyl Ketone,Perfuming,0
19438,Araucaria Angustifolia Seed Powder,Abrasive,0
19439,Calcium Lignosulfonate,Emulsifying,0
19440,Ardisia Crispa Extract,Skin Conditioning,1
19441,Ricinoleth-40,"Cleansing, Emulsifying",6
19442,Calcium Ketogluconate,Skin Conditioning,2
19443,Arbutinyl Undecylenate,"Antimicrobial, Bleaching, Antioxidant",0
19444,Troloxoyl Oligopeptide-143,Skin Conditioning,0
19445,Arbutus Unedo Leaf Water,"Emollient, Skin Conditioning",1
19446,Ascophyllum Nodosum Powder,Skin Conditioning,11
19447,Ammonium Thiocyanate,Buffering,0
19448,Pelargonium Graveolens Stem Leaf...,Perfuming,0
19449,Amodimethicone/Silsesquioxane Co...,"Hair Conditioning, Film Forming",0
19450,Bambusa Vulgaris Flower Extract,Skin Conditioning,4
19451,Amomum Xanthioides Seed Extract,Skin Conditioning,1
19452,Ampelopsis Japonica Root Powder,"Masking, Abrasive, Skin Protecting",0
19453,Amyl Butyrate,Perfuming,0
19454,Amp-Acrylates/Ethylhexyl Acrylat...,Film Forming,0
19455,Amorpha Fruticosa Extract,Skin Conditioning,0
19456,Amp-Isostearoyl Hydrolyzed Collagen,"Cleansing, Emollient, Skin Conditioning",0
19457,Amp-Isostearoyl Hydrolyzed Keratin,"Cleansing, Skin Conditioning",0
19458,Amylcinnamal Dimethyl Acetal,Perfuming,0
19459,Amyl Phenylacetate,Perfuming,0
19460,Amyl Hexanoate,Perfuming,0
19461,Amyris Balsamifera Oil Acetylated,Perfuming,0
19462,Anacardoyl Sh-Pentapeptide-5 Tri...,"Bleaching, Antioxidant, Skin Protecting",0
19463,Amp-Isostearoyl Hydrolyzed Soy P...,"Cleansing, Emulsifying, Skin Conditioning",0
19464,Amyl Cyclopentanone Propanone,Perfuming,0
19465,Dimethyl Cocamine,"Emulsifying, Emulsion Stabilising",0
19466,Sodium Pentaerythrityl Hydroxypr...,Cleansing,0
19467,Dimethyl Maleate,"Emollient, Solvent",0
19468,Dimethyl-2-Methyleneoct-6-Enal,Perfuming,0
19469,Dimethylacrylamide/Lauryl Methac...,"Binding, Film Forming",0
19470,Dimethyl Glutarate,"Emollient, Solvent",3
19471,C14-30 Alkyl Beeswax,"Emollient, Skin Conditioning",0
19472,C16-26 Hydroxyalkanoyl Sphingadi...,Skin Conditioning,0
19473,C18-20 Glycol Isostearate,"Emollient, Emulsifying, Skin Conditioning",0
19474,C12-15 Pareth-5,Emulsifying,0
19475,C12-15 Pareth-8 Phosphate,"Cleansing, Emulsifying",0
19476,C12-17 Alkyl Ketene Dimer,Skin Conditioning,0
19477,C14-15 Pareth-4,Emulsifying,0
19478,C14-17 Alkane,Solvent,0
19479,Amyl Isobutyrate,Perfuming,0
19480,Lauryl Glycol,"Emollient, Skin Conditioning",0
19481,Amylcinnamal Diethyl Acetal,Perfuming,0
19482,Mentha Piperita Flower/Leaf/Stem...,"Masking, Perfuming",0
19483,Ethyl Trimethylbenzoyl Phenylpho...,UV Absorber,3
19484,Ppg-2 Glyceryl Ether,Emulsifying,0
19485,Dimethyl Dicaproyl Cystinate,Skin Conditioning,0
19486,Papaver Somniferum Seed Extract,Skin Conditioning,1
19487,Dimethyl Imidazolidinone,"Humectant, Skin Conditioning",0
19488,Dipeptide-18,Skin Conditioning,0
19489,Dimethyl Phenylbutanol,Masking,0
19490,Brown Rice Vinegar,"Humectant, Skin Conditioning",1
19491,Dimethylbicyclo-8-Octanone Oxime,Perfuming,0
19492,Dimethylbutyl Crotonate,Perfuming,0
19493,Distylium Racemosum Extract,Skin Conditioning,0
19494,Amyl Valerate,Perfuming,0
19495,Amylcinnamal/Methyl Anthranilate...,Perfuming,0
19496,Amylcyclopentenone,Perfuming,0
19497,Amyloglucosidase,Skin Conditioning,0
19498,Dimethyl Isopropanolamine,Buffering,0
19499,Dimethyl Palmitamine,Emulsifying,1
19500,Dimethyl-4-Hexenyl-Dihydrofuranone,Perfuming,0
19501,Amylcyclopentanone,Perfuming,0
19502,Amylvinyl Carbinol,Perfuming,0
19503,Cetyl Triethylmonium Dimethicone...,Hair Conditioning,10
19504,Anabaena Flosaquae/Aphanizomenon...,Skin Protecting,0
19505,Anacardium Occidentale Peduncle ...,"Skin Conditioning, Abrasive",0
19506,Anacardoyl Tripeptide-35,"Bleaching, Antioxidant, Skin Protecting",0
19507,Amylfuran,Perfuming,0
19508,Anacardium Occidentale Seed Oil,Skin Conditioning,0
19509,Androsace Umbellata Extract,Antioxidant,0
19510,Ananas Sativus Stem Powder,Skin Conditioning,0
19511,Andrographis Paniculata Extract,"Astringent, Skin Conditioning",0
19512,Angelica Acutiloba Root,Skin Conditioning,0
19513,Anethum Graveolens Seed Extract,Perfuming,0
19514,Angelica Acutiloba Leaf,"Masking, Skin Conditioning",0
19515,Angelica Acutiloba Leaf Oil Extract,"Humectant, Skin Conditioning, Solvent",0
19516,Anacardoyl Tripeptide-1,"Bleaching, Antioxidant, Skin Protecting",0
19517,Ananas Erectifolius Leaf Juice,Humectant,0
19518,Andrographolide,Skin Conditioning,0
19519,Anemarrhena Asphodeloides Callus...,Antioxidant,0
19520,Tocopheryl Glyceryl Retinoate,"Emollient, Skin Conditioning, Skin Protecting",0
19521,Caffeoyl Dipeptide-25 Amide,"Emollient, Skin Conditioning, Skin Protecting",0
19522,Caffeoyl Hexapeptide-50,"Antioxidant, Skin Protecting, UV Filter",0
19523,C9-16 Alkane/Cycloalkane,"Cleansing, Emulsifying, Solvent",0
19524,Caffeine Benzoate,Skin Conditioning,0
19525,Bacillus/Polygonum Tinctorium Le...,"Skin Conditioning, Skin Protecting",0
19526,Anemarrhena Asphodeloides Callus...,Antioxidant,0
19527,Garcinia Subelliptica Leaf Extract,"Humectant, Skin Conditioning",0
19528,Anethum Graveolens Herb Oil,Perfuming,0
19529,Ulva Ramulosa Callus Culture Ext...,Skin Conditioning,0
19530,Ci 45370,Cosmetic Colorant,11
19531,Androsace Helvetica Extract,Skin Conditioning,0
19532,Chrysanthellum Americanum Extract,Skin Conditioning,0
19533,Anethum Graveolens Leaf Powder,Skin Conditioning,0
19534,Angelica Acutiloba Flower Extract,Skin Conditioning,0
19535,Angelica Cartilaginomarginata Ex...,Skin Conditioning,0
19536,C10-40 Isoalkyl Acid Cholesterol...,Skin Conditioning,0
19537,C11-15 Pareth-30,"Cleansing, Emulsifying",0
19538,C11-15 Pareth-9,Emulsifying,0
19539,C12-13 Pareth-12 Carboxylic Acid,Cleansing,0
19540,C12-14 Sec-Pareth-12,"Emulsifying, Emulsion Stabilising",0
19541,Angelica Dahurica Leaf Extract,Skin Conditioning,0
19542,Angelica Japonica Extract,Skin Conditioning,0
19543,Angelica Keiskei Root Extract,Skin Conditioning,0
19544,Angelica Acutiloba Leaf Water,"Humectant, Skin Conditioning, Solvent",0
19545,Polyester-11,Skin Conditioning,12
19546,Aniba Rosaeodora Amazonica Wood Oil,Perfuming,0
19547,Paeonia Lactiflora Phytoplacenta...,"Antimicrobial, Skin Conditioning, Antioxidant",0
19548,Angelica Furcijuga Flower/Leaf/S...,"Humectant, Skin Conditioning, Antioxidant",0
19549,Dimethyl Phenylethyl Carbinyl Ac...,Perfuming,0
19550,Lilium Parvum Flower Extract,Masking,0
19551,Dimethylaminopropylacrylamide,"",0
19552,Helianthus Annuus Seed Butter,"Emollient, Skin Conditioning",1
19553,Dimethylimidazolidinone Corn Starch,Absorbent,0
19554,Dimethylol Urea/Phenol/Sodium Ph...,Viscosity Controlling,0
19555,Dimethylphenyl Carbinol,Perfuming,0
19556,Dimyristyl Tartrate,"Emollient, Skin Conditioning",0
19557,Angelica Dahurica Root/Cnidium O...,Skin Conditioning,0
19558,Angelica Furcijuga Leaf/Stem Ext...,Skin Conditioning,0
19559,Angelica Gigas Sprout Extract,Skin Conditioning,0
19560,Aniba Rosaeodora Amazonica Wood ...,Perfuming,0
19561,Annona Reticulata Juice,Skin Conditioning,0
19562,Annona Squamosa Seed Extract,Skin Protecting,0
19563,Annona Muricata Leaf/Stem Extract,Skin Conditioning,0
19564,Aniba Rosaeodora Root Extract Ac...,Perfuming,0
19565,Angelica Dahurica Root Powder,"Masking, Abrasive",0
19566,Anigozanthos Manglesii Flower Ex...,Skin Conditioning,0
19567,Anisole,Perfuming,0
19568,Annona Atemoya Fruit Extract,"Humectant, Skin Conditioning, Skin Protecting",0
19569,Annona Muricata Fruit,Skin Conditioning,0
19570,Dipeptide-29,Skin Conditioning,0
19571,Bisabolene,Perfuming,2
19572,Dimethyl Lauramine Isostearate,"Emollient, Emulsion Stabilising, Skin Conditioning",3
19573,Dimethyl Paba Ethyl Cetearyldimo...,UV Absorber,0
19574,Dimethyl-5-Hexenyl Acetate,Perfuming,0
19575,Dimorpholinopyridazinone,UV Absorber,0
19576,Sodium Hyaluronate Crosspolymer-4,"Emollient, Humectant, Skin Conditioning",0
19577,Ethylbenzene,Perfuming,0
19578,Dicetyl Adipate,"Emollient, Skin Conditioning",1
19579,Aminolevulinoyl Tripeptide-35,"Bleaching, Skin Protecting",0
19580,Aminobutyroyl Tripeptide-1,"Antioxidant, Skin Protecting",0
19581,Sodium Myristyl Sulfate,"Cleansing, Emulsifying",0
19582,Aminoethylpropanediol-Ampd-Acryl...,Film Forming,0
19583,Dimethiconol Fluoroalcohol Dilin...,Skin Conditioning,0
19584,3-(P-Cumenyl)-2-Methylpropionald...,Perfuming,0
19585,Cedrela Odorata Wood Oil,Perfuming,1
19586,Aminopropyl Magnesium Polysilses...,"Antimicrobial, Humectant, Skin Conditioning",0
19587,Ammonium Acryloyldimethyltaurate...,Emulsion Stabilising,0
19588,Ammonium Alginate,Emulsion Stabilising,0
19589,Ammonium Beta-Sitosteryl Sulfate,Skin Conditioning,0
19590,Aminolevulinic Acid Phosphate,Humectant,0
19591,Sideritis Raeseri Flower/Leaf/St...,Antioxidant,3
19592,Trioctyldodecyl Borate,Emollient,1
19593,Aminopropyl Calcium/Magnesium Po...,"Humectant, Skin Conditioning",0
19594,Peg-11 Tallow Amine,Emulsifying,0
19595,Dimethiconol Lactate,"Emollient, Skin Conditioning",0
19596,Sucrose Acetate/Stearate,"Emollient, Skin Conditioning",1
19597,Aminolevulinoyl Tripeptide-63,"Antiseborrhoeic, Antioxidant, Skin Protecting",0
19598,Aminopentyl Aminoadenine,"",0
19599,Amp-Isostearoyl Wheat/Corn/Soy A...,Skin Conditioning,0
19600,Aminopropanediol,Buffering,0
19601,Egg Powder,Hair Conditioning,1
19602,Ammonium Amps,"",0
19603,Aminopropyl Calcium Polysilsesqu...,"Humectant, Skin Conditioning",0
19604,Parinari Curatellifolia Oil Peg-...,"Emollient, Emulsifying, Skin Conditioning",0
19605,Aminopropyltriisopropoxysilane,"",0
19606,Ammonium Acrylates/Ethylhexyl Ac...,Film Forming,0
19607,Dimethiconol Illipe Butterate,"Emollient, Skin Conditioning",0
19608,2-Furylmethanethiol,Perfuming,0
19609,Ammonium Bisulfite,Preservative,0
19610,Parthenium Argentatum Bark Extract,Skin Conditioning,0
19611,Dimethiconol Kokum Butterate,"Emollient, Skin Conditioning",0
19612,Aminopropyl Zinc Polysilsesquiox...,"Humectant, Skin Conditioning",0
19613,Aminotrimethylene Phosphonic Acid,Chelating,0
19614,Aminotriazine Pentane Carboxamid...,Skin Conditioning,0
19615,Dipropylheptyl Carbonate,"Emollient, Skin Conditioning",11
19616,Ceratonia Siliqua Seed Extract,Skin Conditioning,8
19617,Ammonium Acrylates/Methylstyrene...,Film Forming,0
19618,Abies Sibirica Needle Oil,Perfuming,0
19619,Hydrolyzed Rye Phytoplacenta Ext...,Skin Conditioning,3
19620,Parinari Curatellifolia Seed Oil,Emollient,0
19621,Chamaecrista Nomame Extract,Skin Conditioning,0
19622,Amyl Cinnamate,Perfuming,0
19623,Sr-(Wasp Spider Polypeptide-1 Ol...,"Skin Conditioning, Skin Protecting",1
19624,Acacia Victoriae Fruit Extract,"Skin Conditioning, Antioxidant",1
19625,Aloe Arborescens Flower Extract,Skin Conditioning,0
19626,Dimethiconol/Stearyl Methicone/P...,"Skin Conditioning, Stabilising",0
19627,C12-15 Pareth-6 Phosphate,"Cleansing, Emulsifying",0
19628,C12-15 Pareth-9,Emulsifying,0
19629,2'-Deoxyadenosine,Hair Conditioning,1
19630,Stearoyl Glutamic Acid,"Cleansing, Skin Conditioning",53
19631,Paris Verticillata Leaf Extract,Antimicrobial,0
19632,Dimethiconol Sal Butterate,"Emollient, Skin Conditioning",0
19633,Myristyl Glycol,Emollient,1
19634,Sodium Methacrylate/Styrene Copo...,Opacifying,1
19635,C10-30 Alkyl Peg-25 Methacrylate,"",0
19636,C12-15 Pareth-4,Emulsifying,0
19637,Dimethiconol/Ipdi Copolymer,Film Forming,0
19638,Dimethyl Carbonate,"Masking, Solvent",0
19639,Dimethyl Hexahydronaphthyl Dihyd...,"Masking, Tonic",0
19640,Pascopyron Smithii Extract,Skin Conditioning,1
19641,Zinc Thiosalicylate,"Skin Conditioning, Antioxidant",0
19642,Passiflora Alata Callus Extract,"Humectant, Skin Conditioning, Antioxidant",0
19643,Dimethiconol/Silsesquioxane Copo...,Skin Conditioning,0
19644,Galloyl Sh-Nonapeptide-3,Skin Conditioning,0
19645,Citrus Reticulata Peel Water,Skin Conditioning,0
19646,Ptychopetalum Olacoides Bark/Roo...,Emollient,2
19647,Subtilisin,Skin Conditioning,16
19648,Dimethyl Benzenebutanol,Perfuming,0
19649,Candida Bombicola/(Olive Fruit/S...,"Emulsion Stabilising, Skin Protecting",0
19650,Ammonium Cocoyl Sarcosinate,"Cleansing, Foaming",0
19651,Ammonium Myreth Sulfate,"Cleansing, Foaming",0
19652,Ammonium Lauryl Sulfosuccinate,"Cleansing, Foaming",0
19653,Ammonium Capryleth Sulfate,"Cleansing, Foaming",0
19654,Ammonium Fluorosilicate,"Antiplaque, Oral Care",0
19655,Ammonium Carbonate,Buffering,0
19656,Ammonium Laureth-8 Carboxylate,Cleansing,0
19657,Dimethoxyapigenin,"Skin Conditioning, Skin Protecting",0
19658,Sucrose Octaacetate,Masking,1
19659,Palmitamidopropyl Betaine,"Cleansing, Skin Conditioning",1
19660,Dimethyl Decadienal,"Masking, Perfuming",0
19661,Ppg-70 Glyceryl Ether,"Emollient, Solvent",0
19662,Ammonium C12-15 Pareth Sulfate,Cleansing,0
19663,Ugni Molinae Leaf Extract,Skin Conditioning,6
19664,Ammonium Cumenesulfonate,"Hydrotrope, Surfactant",0
19665,Ammonium Molybdate,Buffering,0
19666,Ammonium Oleoyl/Palmitoyl Glycer...,Absorbent,0
19667,Ammonium Dimethicone Peg-7 Sulfate,Skin Conditioning,0
19668,Butyl Formate,Perfuming,0
19669,Ammonium Ferric Pentetate,Humectant,0
19670,Sunflowerseedamidopropyl Dimethy...,Hair Conditioning,1
19671,Ammonium Glycolate,Buffering,1
19672,Dimethoxybenzamido Phenylhydroxy...,"Antiseborrhoeic, Skin Conditioning, Antioxidant",0
19673,Ammonium Caseinate,Skin Conditioning,0
19674,Ammonium Cocoyl Isethionate,Cleansing,0
19675,Dimethyl Acrylamide/Hydroxyethyl...,"",0
19676,Ammonium Hydrolyzed Collagen,Skin Conditioning,0
19677,Ammonium Monofluorophosphate,"Antiplaque, Oral Care",0
19678,Ammonium Nonoxynol-30 Sulfate,Cleansing,0
19679,Ammonium Palm Kernel Sulfate,"Cleansing, Foaming",0
19680,Amylvinylcarbinyl Acetate,Perfuming,0
19681,Ammonium Vanadate,Buffering,0
19682,Ammonium Styrene/Acrylates/Ethyl...,Film Forming,0
19683,Ammophila Arenaria Root Extract,Skin Conditioning,0
19684,Amodimethicone Glycerocarbamate,"Emollient, Emulsion Stabilising",0
19685,Ammonium Phosphate,Buffering,1
19686,Ammonium Laureth-5 Sulfate,"Cleansing, Foaming",0
19687,Ammonium Myristyl Sulfate,"Cleansing, Foaming",0
19688,Ammonium Trideceth-6 Phosphate,Emulsifying,0
19689,Amyl Formate,Perfuming,0
19690,Ammonium Perfluorohexyl Ethylpho...,Emulsifying,0
19691,Paecilomyces Japonica/Trichosant...,"Emollient, Humectant, Skin Conditioning",0
19692,Ammonium Phosphatidyl Rapeseedate,"Emollient, Emulsifying, Emulsion Stabilising",0
19693,Ammonium Shellacate,"Emulsifying, Emulsion Stabilising",0
19694,Ampelopsis Grossedentata Leaf Ex...,Skin Conditioning,0
19695,Ulva Linza Extract,"Emollient, Skin Conditioning",0
19696,Ammonium Sulfite,Preservative,0
19697,Tabebuia Impetiginosa Bark Extract,Skin Conditioning,3
19698,Amp-Isostearoyl Hydrolyzed Silk,Skin Conditioning,0
19699,Ampd-Isostearoyl Hydrolyzed Coll...,"Cleansing, Emulsifying, Skin Conditioning",0
19700,Paederia Foetida Extract,Skin Conditioning,0
19701,Ammonium Va/Acrylates Copolymer,"Antistatic, Binding, Film Forming",0
19702,Amomum Biflorum Leaf Extract,"Humectant, Skin Conditioning, Antioxidant",0
19703,Amorphophallus Campanulatus Rhiz...,Skin Conditioning,0
19704,Ammonium Styrene/Ma Copolymer,Emulsion Stabilising,0
19705,Lactobacillus/Streptococcus Ther...,Skin Conditioning,0
19706,Peg-10 Acrylate Dipentaerythrity...,Nail Conditioning,0
19707,Dimethoxysilyl Ethylenediaminopr...,Emulsifying,0
19708,Dimethyl-3-Methylpentadienyl-Oxi...,Perfuming,0
19709,Dimethyl Sulphide,Perfuming,0
19710,Dimethylaminopropylamino Hypocre...,Depilatory,0
19711,Methyl 4-T-Butylbenzoate,"Masking, Perfuming",0
19712,Cananga Odorata Macrophylla Flow...,Perfuming,0
19713,Aluminum Isostearates/Palmitates,Emulsion Stabilising,0
19714,Aluminum Iron Silicates,Abrasive,0
19715,Aluminum Capryloyl Hydrolyzed Co...,Skin Conditioning,0
19716,Glyceryl Laurate/Oleate,Emollient,0
19717,Aluminum Diacetate,"Antimicrobial, Astringent",2
19718,Sd Alcohol 3-B,"Astringent, Solvent",0
19719,Dimethicone/Lauryl Dimethicone/B...,"Emulsion Stabilising, Skin Conditioning",0
19720,Aluminum Dicetyl Phosphate,Emulsion Stabilising,0
19721,Aluminum Dilinoleate,Emulsion Stabilising,0
19722,Aluminum Isopropoxide,Abrasive,0
19723,Dimethiconol Dhupa Butterate,"Emollient, Skin Conditioning",0
19724,Bougainvillea Spectabilis Leaf C...,"Antioxidant, Skin Protecting",1
19725,Amp-Acrylates/Diacetoneacrylamid...,Film Forming,1
19726,Cucumis Sativus Phtyoplacenta Cu...,"Humectant, Skin Conditioning, Skin Protecting",0
19727,Cocos Nucifera Fruit,"Skin Conditioning, Abrasive",1
19728,Cocos Nucifera Flower Extract,"Humectant, Skin Conditioning",0
19729,Eisenia Bicyclis Extract,"Skin Conditioning, Skin Protecting",1
19730,Dimethicone/Titanate Crosspolymer,Bulking,0
19731,Aluminum Dichlorohydrex Peg,Astringent,0
19732,Butylglucoside Caprate,"Cleansing, Emulsifying",0
19733,Gossypium Herbaceum Fruit Water,Masking,2
19734,Schizosaccharomyces/(Solanum Lyc...,Skin Conditioning,0
19735,Peg-90 Stearate,Surfactant,0
19736,Chimyl Isostearate,"Emollient, Skin Conditioning",0
19737,Thorium Dioxide,Skin Conditioning,0
19738,Schinus Molle Fruit Extract,"Humectant, Perfuming",1
19739,Chitosan Glycolate,"Skin Conditioning, Antioxidant",1
19740,Aluminum Iron Calcium Magnesium ...,"Antimicrobial, Antioxidant",0
19741,Kyounin Yu,Skin Conditioning,2
19742,Aluminum Dichlorohydrex Pg,Astringent,0
19743,Dibutyl Sebacate,"Emollient, Masking, Skin Conditioning",1
19744,Amidinoproline,"Humectant, Masking, Perfuming",0
19745,Calcium Tartrate,Skin Conditioning,0
19746,Aluminum Isostearates/Stearates,Emulsion Stabilising,0
19747,Dimethicone/Vinyl Dimethicone/Po...,Film Forming,0
19748,Peg-11 Cocoa Butter Glycerides,"Emollient, Emulsifying",0
19749,Aluminum Methionate,Viscosity Controlling,0
19750,Aluminum Stearoyl Glutamate,"Moisturising, Skin Conditioning",0
19751,Aluminum Zirconium Pentachlorohy...,Astringent,0
19752,Allyl Phenylacetate,Perfuming,0
19753,Sodium Laurylglucosides Hydroxyp...,"Cleansing, Emulsifying",2
19754,Alysicarpus Vaginalis Extract,Skin Conditioning,0
19755,Aluminum Hydrogenated Tallow Glu...,Skin Conditioning,0
19756,Ulva Lactuca Powder,Absorbent,0
19757,Aluminum Lactate,"Astringent, Buffering",1
19758,Aluminum Isostearates/Myristates,Emulsion Stabilising,0
19759,"6,10-Dimethylundeca-1,5,9-Trien-...",Perfuming,0
19760,Hydrogenated Ethylene/Propylene/...,"Emollient, Stabilising",1
19761,Tocopheryl Dimethylglycinate,"Skin Conditioning, Antioxidant",0
19762,Aluminum Zirconium Tetrachlorohy...,Astringent,0
19763,Styrene/Methylstyrene Copolymer,"Binding, Depilatory",2
19764,Amaranthus Hypochondriacus Leaf ...,Skin Conditioning,0
19765,4-Chlororesorcinol,Hair Dyeing,1
19766,Plukenetia Volubilis Seed Oil/Ol...,Hair Conditioning,0
19767,Ambrosia Peruviana Leaf Extract,Skin Conditioning,0
19768,Aluminum Sesquichlorohydrex Peg,Astringent,0
19769,Aluminum Zirconium Octachlorohyd...,Astringent,0
19770,Coconut Oil Decyl Esters,Skin Conditioning,2
19771,Plant Ash Extract,"",5
19772,Isostearamide Mipa,"Antistatic, Foam Boosting, Surfactant",1
19773,Trideceth-7 Carboxylic Acid,"Cleansing, Foaming",1
19774,Glyceryl Chromonyl Ether,"Skin Conditioning, Antioxidant",0
19775,C18-22 Hydroxyalkyl Hydroxypropy...,Skin Conditioning,1
19776,Dimethicone/Vinyl Dimethicone/Ol...,Film Forming,0
19777,C10 Alkyl Acetate,Perfuming,2
19778,Ethyl Ximenynate,Skin Conditioning,1
19779,Aluminum Tris-Hydroxynitrosoaniline,Nail Conditioning,0
19780,Dimethiconol Candelillate,"Emollient, Skin Conditioning",0
19781,Dimethyl Lauroyl Lysine,Skin Conditioning,0
19782,Dimethylaminoethyl Methacrylate,"Film Forming, Viscosity Controlling",0
19783,Aluminum Zirconium Trichlorohydrate,Astringent,0
19784,Aluminum Undecylenoyl Collagen A...,Skin Conditioning,0
19785,Aluminum Zirconium Octachlorohyd...,Astringent,0
19786,Cuscuta Japonica Seed Extract,Skin Conditioning,4
19787,Aluminum/Magnesium Azelate Hydro...,Emulsion Stabilising,0
19788,Peg-11 Oleate,Emulsifying,0
19789,Disunfloweroylethyl Dimonium Chl...,Hair Conditioning,3
19790,Aminoethoxymethyl Pyrrolopyrimidone,"",0
19791,O-Aminophenol,Hair Dyeing,0
19792,Sodium Magnesium Silver Phosphate,Antimicrobial,2
19793,Parinari Curatellifolia Oil Poly...,"Emollient, Emulsifying, Skin Conditioning",0
19794,Amarantheth-20,Emulsifying,0
19795,Amaranthus Mangostanus Extract,Skin Conditioning,0
19796,Ambrettolide,Perfuming,0
19797,Amentoflavone,"Bleaching, Antioxidant",0
19798,Dimethiconol Arginine,Hair Conditioning,0
19799,Amburana Cearensis Seed Oil,Abrasive,0
19800,Myrcene Methoxylation Distillate,Perfuming,1
19801,Tripeptide-8,Skin Conditioning,0
19802,Amidino Beta-Alanine,Skin Conditioning,0
19803,Behenoxy Peg-10 Dimethicone,Humectant,0
19804,Amelanchier Canadensis Fruit Ext...,"",0
19805,Peg-20 Methyl Glucose Sesquilaurate,Emulsifying,1
19806,Prunus Spinosa Fruit Extract,Skin Conditioning,1
19807,Ambrosia Trifida Leaf Extract,"Humectant, Skin Conditioning, Antioxidant",0
19808,Triticum Monococcum Stem Water,Flavouring,3
19809,Passiflora Laurifolia Fruit Extract,Skin Conditioning,0
19810,Dibutyl Maleate,Perfuming,0
19811,C12-15 Pareth-12 Carboxylic Acid,Cleansing,0
19812,Dihexyl Adipate,"Emollient, Skin Conditioning, Solvent",0
19813,Glucose Pentaisovalerate,Humectant,0
19814,Amidinocysteinyl Hydrolyzed Keratin,Astringent,0
19815,Peg-40 Hydrogenated Castor Oil P...,Skin Conditioning,2
19816,Vaccinium Corymbosum (Blueberry)...,Skin Conditioning,0
19817,Distearyldimethylamine Dilinoleate,Emollient,0
19818,Trapa Japonica Fruit Extract,Skin Conditioning,0
19819,Amino Bispropyl Dimethicone,Emulsifying,0
19820,Aminobenzoyl Tripeptide-39 Hydro...,Skin Protecting,0
19821,Amidinocysteine,Hair Waving Or Straightening,0
19822,Sodium Hyaluronate Crosspolymer-5,"Emollient, Humectant, Skin Conditioning",0
19823,Citrus Unshiu/Citrus Reticulata/...,"Masking, Perfuming",0
19824,Aminoethylacrylate Phosphate/Acr...,"Antistatic, Film Forming",0
19825,Aminolevulinoyl Pentapeptide-6,Antioxidant,0
19826,Myrsine Africana Leaf Extract,Antioxidant,0
19827,Aminobutyroyl Pentapeptide-4,"Antioxidant, Skin Protecting",0
19828,Silver Sulfate,Antimicrobial,1
19829,Aminoethyl Disulfide Keratin,Hair Conditioning,0
19830,Aminoethylpropanediol-Acrylates/...,Film Forming,0
19831,Aluminum Benzoate,Antimicrobial,2
19832,Peg-4 Ethylhexanoate,Emulsifying,1
19833,Isobutyl-Methoxypyrazine,Perfuming,0
19834,Alpha-Pinanol,Perfuming,0
19835,Alpha-Cedrene,Perfuming,0
19836,Ufiprazole,Skin Conditioning,0
19837,Polydipentene,"Binding, Viscosity Controlling",0
19838,Zinc Picolinate,Soothing,2
19839,Glycerin Dimethyl Ether,"",0
19840,Ovalicin,Antimicrobial,2
19841,Leontopodium Haplophylloides Flo...,Skin Conditioning,0
19842,Peg-444 Pentaerythrityl Tetra(Gl...,Skin Conditioning,0
19843,Carex Meyeriana Leaf/Stem Extract,Skin Conditioning,0
19844,Sclerocarya Birrea Fruit Extract,Skin Conditioning,0
19845,Saccharomyces Lysate Filtrate,Skin Protecting,1
19846,Chlorosalicylic Acid,Skin Conditioning,0
19847,Oleyl Oleate,Emollient,6
19848,Ulex Europaeus Flower Extract,Skin Conditioning,0
19849,Hydrolyzed Erythrina Edulis Seed,"Emollient, Skin Conditioning",0
19850,Grateloupia Elliptica Extract,Skin Conditioning,1
19851,Diethyl Adipate,"Emollient, Masking, Skin Conditioning",3
19852,Ci 42080,Cosmetic Colorant,0
19853,Amylodextrin,Absorbent,2
19854,Distearyl Peg-18 Formoyl Glutamate,Skin Conditioning,6
19855,Triticum Vulgare Kernel Flour,Abrasive,0
19856,C12-13 Pareth-2,Emulsifying,0
19857,Distearyl Thiodipropionate,Antioxidant,0
19858,Dimethicone Peg/Ppg-20/23 Benzoate,Skin Conditioning,0
19859,Sodium Pantothenate,Hair Conditioning,3
19860,C12-13 Pareth-1,"Cleansing, Emollient",1
19861,Alpha-Methyl-Alpha-Vinyl-Benzene...,Perfuming,0
19862,Calcium Phosphoryl Oligosaccharides,Humectant,0
19863,Diisopropyl Oxalate,Solvent,2
